ra,dec,type,const,mag,name,id,id1,cat1,id2,cat2
15.3094,2.08278,GC,Ser,5.7,,10093,5,M,5904.0,NGC
6.3,23.6333,OC,Gem,5.7,,212635,89,Col,,
1.96331,37.85,OC,And,5.7,,1227,752,NGC,28.0,C
17.7389,-32.3611,OC,Sco,5.7,,10897,6416,NGC,,
7.86939,-38.5333,OC,Pup,5.8,,3673,2477,NGC,71.0,C
18.0614,-24.3803,Neb,Sgr,5.8,,11009,8,M,6523.0,NGC
16.4222,-40.6536,OC,Sco,5.8,,10495,6124,NGC,75.0,C
8.22864,-5.75056,OC,Hya,5.8,,3809,48,M,2548.0,NGC
1.56411,30.6603,Gxy,Tri,5.8,Triangulum galaxy,991,33,M,598.0,NGC
16.6948,36.46,GC,Her,5.8,,10582,13,M,6205.0,NGC
18.8516,-6.27,OC,Sct,5.8,Wild Duck cluster,11314,11,M,6705.0,NGC
16.9656,-45.9367,OC,Ara,5.9,,10662,6250,NGC,,
13.7764,-62.9164,OC,Cen,5.9,,9088,5281,NGC,,
18.0704,-22.49,OC,Sgr,5.9,,11012,21,M,6531.0,NGC
7.04508,-8.39056,OC,Mon,5.9,,3480,50,M,2323.0,NGC
6.14008,13.9647,OC,Ori,5.9,,3314,2169,NGC,,
2.62167,55.9833,OC,Per,5.9,,212626,29,Col,2,Tr
13.8992,-61.8692,OC,Cen,6.0,,9176,5316,NGC,,
18.3134,-13.8072,OC+Neb,Ser,6.0,,11131,16,M,6611.0,NGC
18.3464,-16.1717,OC+Neb,Sgr,6.0,Omega nebula,11140,17,M,6618.0,NGC
6.86258,0.459167,OC,Mon,6.0,,3457,2301,NGC,,
5.60492,34.1408,OC,Aur,6.0,,3127,36,M,1960.0,NGC
17.3071,-42.9339,OC,Sco,6.0,,10770,6322,NGC,,
18.306,-15.0128,OC,Ser,6.0,,11118,6605,NGC,,
10.3562,-51.7325,OC,Vel,6.0,,4915,3228,NGC,,
5.06394,23.7678,OC,Tau,6.1,,2842,1746,NGC,,
8.77294,-52.9475,OC,Vel,6.1,,4087,2669,NGC,,
17.8019,1.35,OC,Oph,6.1,,212712,350,Col,,
