ra,dec,type,const,mag,name,primary_designation,id,id1,cat1,id2,cat2
7.69633,-14.81,OC,Pup,6.1,,M 46,3639,46,M,2437,NGC
7.60972,-14.4825,OC,Pup,4.4,,M 47,3623,47,M,2422,NGC
21.89,47.2667,OC+Neb,Cyg,7.2,Cocoon Nebula,,12230,5146,IC,19,C
8.22864,-5.75056,OC,Hya,5.8,,M 48,3809,48,M,2548,NGC
22.494,-20.8372,PN,Aqr,7.3,Helix Nebula,NGC 7293,12493,7293,NGC,63,C
12.4963,8,Gxy,Vir,8.4,,M 49,7221,49,M,4472,NGC
7.04508,-8.39056,OC,Mon,5.9,Heart-Shaped Cluster,M 50,3480,50,M,2323,NGC
13.4978,47.1953,Gxy,CVn,8.5,Whirlpool Galaxy,M 51,8870,51,M,5194,NGC
23.414,61.6067,OC,Cas,6.9,Scorpion Cluster,M 52,12982,52,M,7654,NGC
13.2153,18.1689,GC,Com,7.7,,M 53,8625,53,M,5024,NGC
18.9176,-30.4783,GC,Sgr,7.7,,M 54,11329,54,M,6715,NGC
10.4128,-18.6428,PN,Hya,7.7,Ghost of Jupiter,NGC 3242,4940,3242,NGC,59,C
19.6665,-30.9622,GC,Sgr,6.3,Specter Cluster,M 55,11524,55,M,6809,NGC
19.2765,30.1847,GC,Lyr,8.4,,M 56,11440,56,M,6779,NGC
18.893,33.0286,PN,Lyr,8.8,Ring Nebula,M 57,11325,57,M,6720,NGC
12.6287,11.8181,Gxy,Vir,10.1,,M 58,7511,58,M,4579,NGC
22.9548,62.4759,Neb,Cep,7.7,Cave Nebula,,13230,9,C,,
0.792528,-25.2881,Gxy,Scl,7.8,Sculptor Galaxy,NGC 253,421,253,NGC,65,C
12.7007,11.6467,Gxy,Vir,9.8,,M 59,7630,59,M,4621,NGC
12.7277,11.5519,Gxy,Vir,8.8,,M 60,7695,60,M,4649,NGC
12.3652,4.47333,Gxy,Vir,9.6,Swelling Spiral,M 61,6824,61,M,4303,NGC
17.0201,-30.1122,GC,Oph,6.4,Flickering Globular,M 62,10688,62,M,6266,NGC
13.2636,42.0306,Gxy,CVn,9,Sunflower Galaxy,M 63,8653,63,M,5055,NGC
21.0696,-11.3636,PN,Aqr,8,Saturn Nebula,NGC 7009,11977,7009,NGC,55,C
12.9456,21.6828,Gxy,Com,8.4,Black Eye Galaxy,M 64,8098,64,M,4826,NGC
11.3155,13.0936,Gxy,Leo,9.3,Leo Triplet,M 65,5546,65,M,3623,NGC
11.3375,12.9911,Gxy,Leo,9,Leo Triplet,M 66,5568,66,M,3627,NGC
11.8383,-57.1822,PN,Cen,8.1,Blue Planetary,NGC 3918,6147,3918,NGC,,
5.644,-69.0942,Neb,Dor,8.2,Tarantula Nebula,NGC 2070,3158,2070,NGC,103,C
8.85558,11.8119,OC,Cnc,6.9,King Cobra Cluster,M 67,4140,67,M,2682,NGC
23.4316,42.535,PN,And,8.3,Blue Snowball,NGC 7662,12995,7662,NGC,22,C
12.6578,-26.7428,GC,Hya,7.3,,M 68,7546,68,M,4590,NGC
18.5231,-32.3481,GC,Sgr,7.7,,M 69,11183,69,M,6637,NGC
18.7201,-32.2919,GC,Sgr,7.8,,M 70,11268,70,M,6681,NGC
19.8961,18.7783,GC,Sge,8.4,Angelfish Cluster,M 71,11574,71,M,6838,NGC
20.8911,-12.5369,GC,Aqr,9.2,,M 72,11913,72,M,6981,NGC
20.9822,-12.6356,Ast,Aqr,8.9,,M 73,11937,73,M,6994,NGC
1.61156,15.7842,Gxy,Psc,9.5,Phantom Galaxy,M 74,1019,74,M,628,NGC
20.1013,-21.9214,GC,Sgr,8.6,,M 75,11641,75,M,6864,NGC
10.0872,-7.71917,Gxy,Sex,8.6,Spindle Galaxy,NGC 3115,4773,3115,NGC,53,C
1.70503,51.5711,PN,Per,10.1,Little Dumbbell Nebula,M 76,1052,76,M,650,NGC
2.71131,-0.0130556,Gxy,Cet,9.1,Squid Galaxy,M 77,1677,77,M,1068,NGC
5.77939,0.0791667,Neb,Ori,8,,M 78,3217,78,M,2068,NGC
19.7467,50.5253,PN,Cyg,8.8,Blinking Planetary,NGC 6826,11548,6826,NGC,15,C
5.40294,-24.5242,GC,Lep,7.7,,M 79,3011,79,M,1904,NGC
16.2842,-22.975,GC,Sco,7.3,,M 80,10443,80,M,6093,NGC
9.92581,69.0653,Gxy,UMa,7.3,Bode's Galaxy,M 81,4680,81,M,3031,NGC
9.93075,69.6786,Gxy,UMa,8.9,Cigar Galaxy,M 82,4684,82,M,3034,NGC
13.6167,-29.8678,Gxy,Hya,7.8,Southern Pinwheel Galaxy,M 83,8980,83,M,5236,NGC
12.418,12.8869,Gxy,Vir,9.4,,M 84,6989,84,M,4374,NGC
6.65264,8.74417,Neb,Mon,9,Hubble's variable neb,NGC 2261,3410,2261,NGC,46,C
12.4234,18.1908,Gxy,Com,9.2,,M 85,7009,85,M,4382,NGC
7.48633,20.9117,PN,Gem,9.1,Eskimo Nebula,NGC 2392,3585,2392,NGC,39,C
12.4366,12.9464,Gxy,Vir,9,,M 86,7055,86,M,4406,NGC
10.1171,-40.4364,PN,Vel,9.2,Eight-burst Planetary,NGC 3132,4792,3132,NGC,74,C
12.5137,12.3906,Gxy,Vir,8.8,Smoking Gun Galaxy,M 87,7249,87,M,4486,NGC
12.5331,14.4208,Gxy,Com,9.7,,M 88,7290,88,M,4501,NGC
12.5944,12.5564,Gxy,Vir,9.8,,M 89,7427,89,M,4552,NGC
12.6139,13.1625,Gxy,Vir,9.6,,M 90,7487,90,M,4569,NGC
12.5909,14.4967,Gxy,Com,10.4,,M 91,7417,91,M,4548,NGC
17.2854,43.1364,GC,Her,6.5,,M 92,10762,92,M,6341,NGC
7.74144,-23.8531,OC,Pup,6.2,Critter Cluster,M 93,3649,93,M,2447,NGC
12.8481,41.12,Gxy,CVn,8,Cat's Eye Galaxy,M 94,7912,94,M,4736,NGC
10.7327,11.7036,Gxy,Leo,10,,M 95,5122,95,M,3351,NGC
10.7794,11.8236,Gxy,Leo,9.3,,M 96,5141,96,M,3368,NGC
17.2291,-37.1033,PN,Sco,9.6,Bug Nebula,NGC 6302,10736,6302,NGC,69,C
11.2466,55.0186,PN,UMa,9.9,Owl Nebula,M 97,5450,97,M,3587,NGC
12.2301,14.9,Gxy,Com,10,,M 98,6540,98,M,4192,NGC
12.3138,14.4169,Gxy,Com,9.7,St. Catherine's Wheel,M 99,6687,99,M,4254,NGC
12.3819,15.8225,Gxy,Com,9.7,Mirror Galaxy,M 100,6870,100,M,4321,NGC
14.0534,54.3486,Gxy,UMa,7.5,Pinwheel Galaxy,M 101,9297,101,M,5457,NGC
19.749,-14.8103,Gxy,Sgr,9.9,Barnard's Galaxy,NGC 6822,11549,6822,NGC,57,C
15.10819,55.7633,Gxy,Dra,9.9,Spindle Galaxy,M 102,,102,M,,
1.55606,60.6581,OC,Cas,7.4,,M 103,974,103,M,581,NGC
12.6665,-11.6231,Gxy,Vir,7.9,Sombrero Galaxy,M 104,7561,104,M,4594,NGC
10.7971,12.5814,Gxy,Leo,9.4,,M 105,5152,105,M,3379,NGC
12.316,47.3042,Gxy,CVn,8.7,,M 106,6699,106,M,4258,NGC
12.4627,13.0086,Gxy,Vir,10,The Eyes,NGC 4438,7136,4438,NGC,,
16.5422,-13.0528,GC,Oph,7.8,Crucifix Cluster,M 107,10537,107,M,6171,NGC
11.192,55.6733,Gxy,UMa,10.2,Surfboard Galaxy,M 108,5403,108,M,3556,NGC
13.4997,47.2664,Gxy,CVn,10.2,Whirlpool Galaxy,NGC 5195,8875,5195,NGC,,
11.96,53.3744,Gxy,UMa,9.9,Vacuum Cleaner Galaxy,M 109,6250,109,M,3992,NGC
0.67275,41.6906,Gxy,And,8.2,,M 110,347,110,M,205,NGC
12.0314,-18.8686,Gxy,Crv,10.5,Antennae,NGC 4038,6310,4038,NGC,60,C
12.0316,-18.8861,Gxy,Crv,10.7,Antennae,NGC 4039,6311,4039,NGC,61,C
12.4613,13.0789,Gxy,Vir,10.8,The Eyes,NGC 4435,7133,4435,NGC,,
8.92628,58.7339,Gxy,UMa,10.9,Helix Galaxy,NGC 2685,4171,2685,NGC,,
12.6095,11.2381,Gxy,Vir,11.2,Siamese Twins,NGC 4568,7479,4568,NGC,,
17.8208,-20.0094,PN,Sgr,11.2,Little Gem,NGC 6445,10932,6445,NGC,,
12.6091,11.2578,Gxy,Vir,11.5,Siamese Twins,NGC 4567,7472,4567,NGC,,
17.2345,-12.9108,PN,Oph,11.5,Box Nebula,NGC 6309,10739,6309,NGC,,
8.22069,45.9919,Gxy,Lyn,11.7,Bear Paw Galaxy,NGC 2537,3806,2537,NGC,,
12.2052,29.1794,Gxy,Com,12.3,Box,NGC 4169,6501,4169,NGC,,
12.2056,29.2117,Gxy,Com,12.7,Box,NGC 4173,6508,4173,NGC,,
